M,mu_kernel,method,trial,abs_err,rel_err,S_approx,S_ref,N_terms
128,lorentz,kahan_f32,3,4.9659021283954274e-08,1.4093215248990456e-07,0.35236114263534546,0.35236119229436674,16384
128,lorentz,kahan_f32,4,4.9659021283954274e-08,1.4093215248990456e-07,0.35236114263534546,0.35236119229436674,16384
128,lorentz,kahan_f32,5,4.9659021283954274e-08,1.4093215248990456e-07,0.35236114263534546,0.35236119229436674,16384
128,lorentz,kahan_f32,6,9.040152951222957e-07,2.565592678455551e-06,0.35236209630966187,0.35236119229436674,16384
128,lorentz,kahan_f32,7,9.040152951222957e-07,2.565592678455551e-06,0.35236209630966187,0.35236119229436674,16384
128,lorentz,kahan_f32,8,4.9659021283954274e-08,1.4093215248990456e-07,0.35236114263534546,0.35236119229436674,16384
128,lorentz,kahan_f32,9,1.0033333376902043e-06,2.84745698343536e-06,0.35236018896102905,0.35236119229436674,16384
256,lorentz,kahan_f32,0,2.2866103584873176e-05,6.473185760939027e-05,0.35326629877090454,0.35324343266731967,65536
256,lorentz,kahan_f32,1,2.1912429268466926e-05,6.203209243837177e-05,0.35326534509658813,0.35324343266731967,65536
256,lorentz,kahan_f32,2,2.238926642667005e-05,6.338197502388102e-05,0.35326582193374634,0.35324343266731967,65536
256,lorentz,kahan_f32,3,2.33429407430763e-05,6.608174019489952e-05,0.35326677560806274,0.35324343266731967,65536
256,lorentz,kahan_f32,4,2.429661505948255e-05,6.878150536591802e-05,0.35326772928237915,0.35324343266731967,65536
256,lorentz,kahan_f32,5,1.95282434774513e-05,5.528267951082551e-05,0.3532629609107971,0.35324343266731967,65536
256,lorentz,kahan_f32,6,2.137598746548841e-05,6.051347452967386e-05,0.35326480865478516,0.35324343266731967,65536
256,lorentz,kahan_f32,7,2.042231314908216e-05,5.781370935865535e-05,0.35326385498046875,0.35324343266731967,65536
256,lorentz,kahan_f32,8,1.95282434774513e-05,5.528267951082551e-05,0.3532629609107971,0.35324343266731967,65536
256,lorentz,kahan_f32,9,1.565394156705091e-05,4.431488350356283e-05,0.3532590866088867,0.35324343266731967,65536
384,lorentz,kahan_f32,0,3.323472251925974e-05,9.403907567613224e-05,0.35344719886779785,0.3534139641452786,147456
384,lorentz,kahan_f32,1,3.323472251925974e-05,9.403907567613224e-05,0.35344719886779785,0.3534139641452786,147456
384,lorentz,kahan_f32,2,3.323472251925974e-05,9.403907567613224e-05,0.35344719886779785,0.3534139641452786,147456
384,lorentz,kahan_f32,3,3.132737388644724e-05,8.864215074865982e-05,0.35344529151916504,0.3534139641452786,147456
384,lorentz,kahan_f32,4,2.560532798800974e-05,7.245137596624254e-05,0.3534395694732666,0.3534139641452786,147456
384,lorentz,kahan_f32,5,3.418839683566599e-05,9.673753813986846e-05,0.35344815254211426,0.3534139641452786,147456
384,lorentz,kahan_f32,6,3.037369957004099e-05,8.59436882849236e-05,0.35344433784484863,0.3534139641452786,147456
384,lorentz,kahan_f32,7,3.800309410129099e-05,0.0001075313879948133,0.3534519672393799,0.3534139641452786,147456
384,lorentz,kahan_f32,8,3.514207115207224e-05,9.943600060360466e-05,0.35344910621643066,0.3534139641452786,147456
384,lorentz,kahan_f32,9,3.704941978488474e-05,0.0001048329255310771,0.3534510135650635,0.3534139641452786,147456
512,lorentz,kahan_f32,0,4.4621056363436384e-05,0.0001262355721860557,0.3534298837184906,0.35347450477485404,262144
512,lorentz,kahan_f32,1,4.247528915152232e-05,0.00012016507153345331,0.3534320294857025,0.35347450477485404,262144
512,lorentz,kahan_f32,2,5.0343102261873884e-05,0.0001424235739263288,0.35342416167259216,0.35347450477485404,262144
512,lorentz,kahan_f32,3,5.0462311551424666e-05,0.0001427608239625845,0.3534240424633026,0.35347450477485404,262144
512,lorentz,kahan_f32,4,5.2369660184237166e-05,0.00014815682454267552,0.3534221351146698,0.35347450477485404,262144
512,lorentz,kahan_f32,5,4.6528404996248884e-05,0.00013163157276614674,0.3534279763698578,0.35347450477485404,262144
512,lorentz,kahan_f32,6,5.475384597525279e-05,0.0001549018252677893,0.3534197509288788,0.35347450477485404,262144
512,lorentz,kahan_f32,7,4.628998641714732e-05,0.00013095707269363536,0.3534282147884369,0.35347450477485404,262144
512,lorentz,kahan_f32,8,4.8554962918612166e-05,0.00013736482338249346,0.3534259498119354,0.35347450477485404,262144
512,lorentz,kahan_f32,9,5.2369660184237166e-05,0.00014815682454267552,0.3534221351146698,0.35347450477485404,262144
768,lorentz,kahan_f32,0,0.00031223770028177,0.0008832296680560522,0.35383036732673645,0.3535181296264547,589824
768,lorentz,kahan_f32,1,0.0002925085628611157,0.0008274216747248442,0.3538106381893158,0.3535181296264547,589824
768,lorentz,kahan_f32,2,0.00030752893334451414,0.0008699099355087246,0.3538256585597992,0.3535181296264547,589824
768,lorentz,kahan_f32,3,0.00029417749291482664,0.0008321425925897198,0.3538123071193695,0.3535181296264547,589824
768,lorentz,kahan_f32,4,0.0002855944240671704,0.0008078635864275025,0.35380372405052185,0.3535181296264547,589824
768,lorentz,kahan_f32,5,0.0003019260967356274,0.0008540611398194994,0.3538200557231903,0.3535181296264547,589824
768,lorentz,kahan_f32,6,0.0002894091213327954,0.0008186542558329325,0.3538075387477875,0.3535181296264547,589824
768,lorentz,kahan_f32,7,0.00029799219018045164,0.0008429332619951498,0.35381612181663513,0.3535181296264547,589824
768,lorentz,kahan_f32,8,0.00029983993416848875,0.0008481599924884049,0.35381796956062317,0.3535181296264547,589824
768,lorentz,kahan_f32,9,0.00030180688744607664,0.0008537239314005797,0.35381993651390076,0.3535181296264547,589824
1024,lorentz,kahan_f32,0,0.000225043183179785,0.0006365540545148991,0.3537585437297821,0.3535335005466023,1048576
1024,lorentz,kahan_f32,1,0.00023088443836777328,0.0006530765486461683,0.3537643849849701,0.3535335005466023,1048576
1024,lorentz,kahan_f32,2,0.00023851383289902328,0.0006746569491441524,0.35377201437950134,0.3535335005466023,1048576
1024,lorentz,kahan_f32,3,0.0002155064400157225,0.0006095785538924189,0.35374900698661804,0.3535335005466023,1048576
1024,lorentz,kahan_f32,4,0.00022706974110214828,0.0006422863483971762,0.35376057028770447,0.3535335005466023,1048576
1024,lorentz,kahan_f32,5,0.0002065657432994139,0.0005842890220588436,0.35374006628990173,0.3535335005466023,1048576
1024,lorentz,kahan_f32,6,0.00022885788044541,0.0006473442547638912,0.35376235842704773,0.3535335005466023,1048576
1024,lorentz,kahan_f32,7,0.000225043183179785,0.0006365540545148991,0.3537585437297821,0.3535335005466023,1048576
1024,lorentz,kahan_f32,8,0.00024411666950791,0.0006905050557598596,0.35377761721611023,0.3535335005466023,1048576
1024,lorentz,kahan_f32,9,0.00023469913563339828,0.0006638667488951603,0.3537681996822357,0.3535335005466023,1048576
2048,lorentz,kahan_f32,0,0.001015285896359186,0.0028717027255596834,0.3545636832714081,0.3535483973750489,4194304
2048,lorentz,kahan_f32,1,0.0009976429215056704,0.002821800152151043,0.35454604029655457,0.3535483973750489,4194304
2048,lorentz,kahan_f32,2,0.0009831291905028627,0.002780748541931435,0.35453152656555176,0.3535483973750489,4194304
2048,lorentz,kahan_f32,3,0.0010202926865203188,0.0028858642666621357,0.3545686900615692,0.3535483973750489,4194304
2048,lorentz,kahan_f32,4,0.0009611648789031313,0.002718623209833178,0.354509562253952,0.3535483973750489,4194304
2048,lorentz,kahan_f32,5,0.0010813576450927065,0.003058584491179542,0.3546297550201416,0.3535483973750489,4194304
2048,lorentz,kahan_f32,6,0.0009208721390349672,0.0026046565219134447,0.35446926951408386,0.3535483973750489,4194304
2048,lorentz,kahan_f32,7,0.0010019642582518862,0.0028340229108406592,0.3545503616333008,0.3535483973750489,4194304
2048,lorentz,kahan_f32,8,0.0010727447739226625,0.003034223268687824,0.35462114214897156,0.3535483973750489,4194304
2048,lorentz,kahan_f32,9,0.0010126930943114565,0.002864369070345914,0.35456109046936035,0.3535483973750489,4194304
